"Country","Year","Total density per 100 000 population: Health posts","Total density per 100 000 population: Health centres","Total density per 100 000 population: District/rural hospitals","Total density per 100 000 population: Provincial hospitals","Total density per 100 000 population: Specialized hospitals","Total density per 100 000 population: Hospitals"
"Saint Kitts and Nevis"," 2010","0.00","32.44","3.82","3.82","0.00",""
"Saint Lucia"," 2013","18.65","","","","1.65","1.65"
"Saint Lucia"," 2010","19.51","","","","1.72",""
"Saint Vincent and the Grenadines"," 2013","35.66","0.91","0.00","0.00","0.00","0.00"
"Saint Vincent and the Grenadines"," 2010","35.67","0.91","0.00","0.00","0.00",""
"Samoa"," 2013","0.00","1.58","3.15","0.53","0.53","4.20"
"Samoa"," 2010","0.00","1.64","3.28","0.55","0.55",""
"San Marino"," 2013","9.54","0.00","0.00","3.18","0.00","3.18"
"San Marino"," 2010","9.51","0.00","0.00","3.17","0.00",""
"Sao Tome and Principe"," 2013","14.51","2.07","0.00","","",""
"Sao Tome and Principe"," 2010","16.93","2.42","0.00","","",""
"Saudi Arabia"," 2013","0.00","0.00","0.21","0.82","0.01","1.04"
"Saudi Arabia"," 2010","0.00","0.00","0.22","0.86","0.01",""
"Senegal"," 2013","6.87","0.54","0.16","","","0.16"
"Senegal"," 2010","7.81","0.61","0.18","","",""
"Serbia"," 2013","1.66","1.66","0.42","0.43","0.24","1.09"
"Serbia"," 2010","1.60","1.60","0.41","0.42","0.23",""
"Seychelles"," 2013","20.47","5.39","","","1.08","1.08"
"Seychelles"," 2010","21.96","5.78","0.00","0.00","1.16",""
"Sierra Leone"," 2013","","1.21","","","",""
"Sierra Leone"," 2010","","1.26","","","",""
"Singapore"," 2013","59.22","","","0.50","","0.50"
"Singapore"," 2010","63.01","","","0.53","",""
"Slovakia"," 2013","0.29","","0.11","0.48","0.95","1.54"
"Slovakia"," 2010","0.29","","0.11","0.48","0.95",""
"Slovenia"," 2013","4.01","2.75","0.68","0.48","0.10","1.25"
"Slovenia"," 2010","3.15","","","0.49","0.10",""
"South Africa"," 2013","5.88","0.55","0.53","0.12","0.03","0.67"
"South Africa"," 2010","6.19","0.58","0.56","0.13","0.03",""
"Spain"," 2013","","","1.17","0.30","0.16","1.63"
"Spain"," 2010","","","1.19","0.31","0.16",""
"Sri Lanka"," 2013","272.64","","","","","0.10"
"Sri Lanka"," 2010","278.04","","0.00","","",""
"Sudan"," 2013","10.77","3.68","0.64","0.67","0.03","1.35"
"Sudan"," 2010","9.39","3.21","0.56","0.59","0.03",""
"Suriname"," 2013","45.25","1.11","0.19","0.00","0.19","0.37"
"Suriname"," 2010","46.51","1.14","0.19","0.00","0.19",""
"Tajikistan"," 2013","20.72","10.23","3.03","1.61","0.04","4.68"
"Tajikistan"," 2010","24.73","12.21","3.62","1.92","0.04",""
"Thailand"," 2013","42.29","","1.10","0.62","0.13","1.84"
"Thailand"," 2010","41.00","","1.07","0.60","0.12",""
"Togo"," 2013","","10.94","0.51","0.00","0.09","0.60"
"Togo"," 2010","","12.38","0.58","0.00","0.10",""
"Tonga"," 2013","14.24","13.29","2.85","0.95","","3.80"
"Tonga"," 2010","14.42","13.45","2.88","0.96","",""
"Trinidad and Tobago"," 2013","7.83","0.30","","","",""
"Trinidad and Tobago"," 2010","7.83","0.30","","","",""
"Tunisia"," 2013","18.72","","1.19","0.86","0.27","2.33"
"Tunisia"," 2010","19.64","","1.25","0.91","0.29",""
"Turkey"," 2013","10.03","0.27","","1.23","0.32","1.55"
"Turkey"," 2010","10.33","0.28","","1.27","0.33",""
"Tuvalu"," 2014","","0.18","0","0","0.02","0.02"
"Uganda"," 2013","9.59","3.92","0.36","0.04","0.01","0.40"
"Uganda"," 2010","8.99","3.77","0.34","0.04","0.01",""
"Uruguay"," 2013","17.61","1.17","","3.52","0.41","3.93"
"Uruguay"," 2010","17.81","1.19","","3.56","0.42",""
"Vanuatu"," 2013","118.69","15.43","1.58","0.40","0.40","2.37"
"Vanuatu"," 2010","125.18","16.27","1.67","0.42","0.42",""
"Yemen"," 2013","11.37","4.75","2.06","0.90","0.01","2.97"
"Yemen"," 2010","11.53","4.82","2.09","0.91","0.01",""
"Zambia"," 2013","1.18","8.33","0.30","0.12","0.03","0.45"
"Zambia"," 2010","1.31","9.25","0.33","0.14","0.04",""
"Zimbabwe"," 2013","0.00","9.41","0.37","0.08","0.08","0.52"
"Zimbabwe"," 2010","0.00","10.59","0.41","0.09","0.09",""
